method,point_index,x
BFGS,1,"[0.25, 0.25]"
BFGS,2,"[0.2169890762738646, 0.21271120865667398]"
BFGS,3,"[0.20054392866246487, 0.21960082075712192]"
BFGS,4,"[0.16481425491135054, 0.21401626440204227]"
BFGS,5,"[0.13748201926711512, 0.21055912475149188]"
BFGS,6,"[0.11716246208795807, 0.2075813876423132]"
BFGS,7,"[0.10157853502811445, 0.20503896990128914]"
BFGS,8,"[0.08926873363365848, 0.20288902348037668]"
BFGS,9,"[0.0882432585548586, 0.2027220706785438]"
BFGS,10,"[0.08813180037757778, 0.20271224168568547]"
BFGS,11,"[0.0880063976137087, 0.20270844909548286]"
BFGS,12,"[0.08787167577500901, 0.2027088390513334]"
BFGS,13,"[0.08771761387718538, 0.202716912041868]"
BFGS,14,"[0.08769416376087198, 0.20272056717197393]"
BFGS,15,"[0.08768674689444976, 0.20272252678619682]"
BFGS,16,"[0.0876288279193507, 0.20274029852411785]"
BFGS,17,"[0.08762876991617521, 0.20274031632194014]"
BFGS,18,"[0.08762871189131646, 0.2027403341264747]"
BFGS,19,"[0.08762865383061291, 0.20274035194210538]"
BFGS,20,"[0.08762859570115873, 0.2027403697790184]"
BFGS,21,"[0.08762853739691429, 0.20274038767003932]"
BFGS,22,"[0.08762853146663606, 0.20274038949005202]"
BFGS,23,"[0.08762852549632945, 0.20274039132245583]"
BFGS,24,"[0.08762851945798301, 0.20274039317592196]"
BFGS,25,"[0.08762851328135209, 0.20274039507219524]"
BFGS,26,"[0.08762850669313094, 0.20274039709587982]"
BFGS,27,"[0.08762850654245992, 0.20274039714236378]"
BFGS,28,"[0.08762850637168493, 0.2027403971950711]"
BFGS,29,"[0.0876285061660548, 0.2027403972585681]"
BFGS,30,"[0.0876285058807486, 0.20274039734672952]"
BFGS,31,"[0.08762850580711917, 0.2027403973695064]"
BFGS,32,"[0.08762850579444706, 0.20274039737342758]"
BOBYQA,1,"[0.25, 0.25]"
BOBYQA,2,"[0.24, 0.25]"
BOBYQA,3,"[0.25, 0.24]"
BOBYQA,4,"[0.24317310846678888, 0.23269291083989183]"
BOBYQA,5,"[0.22931271040050988, 0.21827454181131273]"
BOBYQA,6,"[0.19902464179447626, 0.19214729740788972]"
BOBYQA,7,"[0.13281211347864527, 0.1472485101856798]"
BOBYQA,8,"[0.11886567575756962, 0.1557833298241064]"
BOBYQA,9,"[0.11139152218733214, 0.1491397593677549]"
BOBYQA,10,"[0.10652846013839645, 0.15030192437677964]"
BOBYQA,11,"[0.1052789018482485, 0.14813660590608707]"
BOBYQA,12,"[0.1028083927605472, 0.1485194699127334]"
BOBYQA,13,"[0.10247736621399342, 0.14757584847090585]"
BOBYQA,14,"[0.10202778847446063, 0.14779466313247264]"
BOBYQA,15,"[0.10196621961786656, 0.14755236316157355]"
BOBYQA,16,"[0.10188461987681702, 0.1476101687171945]"
BOBYQA,17,"[0.10178464986367175, 0.14760771994776184]"
BOBYQA,18,"[0.10158470158882346, 0.14760317160903288]"
BOBYQA,19,"[0.10118477493742278, 0.14759551174614652]"
BOBYQA,20,"[0.10038483998154613, 0.14758531045374745]"
BOBYQA,21,"[0.09878484152337418, 0.14758753168029612]"
BOBYQA,22,"[0.09559644280052117, 0.1478597697821652]"
BOBYQA,23,"[0.08930111130333988, 0.14901250623972925]"
BOBYQA,24,"[0.08803456437472323, 0.14919759777819536]"
BOBYQA,25,"[0.08756858598501456, 0.15017967305863397]"
BOBYQA,26,"[0.08724212900924293, 0.15034253764227748]"
BOBYQA,27,"[0.08723223080003799, 0.15034111445763193]"
BOBYQA,28,"[0.0872282018800445, 0.15035026693290837]"
BOBYQA,29,"[0.08722496867673937, 0.15035972982868015]"
BOBYQA,30,"[0.08722285130121323, 0.15036950309430028]"
BOBYQA,31,"[0.08721289903820595, 0.15037047903540204]"
BOBYQA,32,"[0.08719299451663132, 0.15037243096288153]"
BOBYQA,33,"[0.0871948237949489, 0.1503923471307066]"
BOBYQA,34,"[0.08719310218529241, 0.1503941598800524]"
BOBYQA,35,"[0.0871921891163352, 0.15039375207485456]"
BOBYQA,36,"[0.08719186917882951, 0.15039469951350296]"
BOBYQA,37,"[0.08719091735760252, 0.1503950061669749]"
BOBYQA,38,"[0.08719095028907094, 0.150396005624587]"
ffjm2,1,"[0.25, 0.25]"
ffjm2,2,"[0.2169890762738646, 0.21271120865667398]"
ffjm2,3,"[0.13801546568770084, 0.16344927982996044]"
ffjm2,4,"[0.09165387222423294, 0.1559202331038479]"
ffjm2,5,"[0.09116584149720697, 0.1558391777652972]"
ffjm2,6,"[0.09068294682847666, 0.15576275753725896]"
ffjm2,7,"[0.09020513288933085, 0.15569088004746132]"
ffjm2,8,"[0.08973234424427323, 0.15562345440467848]"
ffjm2,9,"[0.0892645252282509, 0.15556039124181983]"
ffjm2,10,"[0.08880161974022771, 0.15550160278521746]"
ffjm2,11,"[0.08834357084057468, 0.15544700297593184]"
ffjm2,12,"[0.08789031971177366, 0.15539650771390745]"
ffjm2,13,"[0.08744180119489095, 0.15535003549884618]"
ffjm2,14,"[0.08739692200445279, 0.15534539060728714]"
ffjm2,15,"[0.08735208710331115, 0.15534078611591162]"
ffjm2,16,"[0.08730729476418513, 0.15533622198298216]"
ffjm2,17,"[0.0872625418885891, 0.1553316981946873]"
ffjm2,18,"[0.087258065050045, 0.15533124585267707]"
ffjm2,19,"[0.0872535885672308, 0.1553307939149787]"
ffjm2,20,"[0.08724911253253491, 0.15533034237994844]"
ffjm2,21,"[0.0872446373534113, 0.1553298912405757]"
